Date,Open,High,Low,Close,Adj Close,Volume
9/9/2020,188.460007,191.940002,177.134995,179.860001,179.860001,1977200
9/10/2020,180.720001,184.929993,177.309998,178.630005,178.630005,1828400
9/11/2020,179.330002,182.639999,171.440002,174.240005,174.240005,1705000
9/14/2020,178.139999,178.360001,169.029999,171.550003,171.550003,1910300
9/15/2020,174,174.809998,168.009995,171.919998,171.919998,1199000
9/16/2020,172.25,178,167.334,175.899994,175.899994,1667700
9/17/2020,171,171.589996,164.630005,166.440002,166.440002,1876600
9/18/2020,171.130005,171.720001,160.669998,164.779999,164.779999,1733500
9/21/2020,161.910004,173.919998,158.25,173.669998,173.669998,1254600
9/22/2020,210.860001,234.740005,200.940002,226.830002,226.830002,11332200
9/23/2020,226.470001,227.970001,214.300003,218.669998,218.669998,3070100
9/24/2020,216.639999,218.410004,206.649994,208.350006,208.350006,1565500
9/25/2020,208.259995,208.809998,200.529999,203.259995,203.259995,1452000
9/28/2020,206.940002,218.380005,206.25,218.020004,218.020004,2359700
9/29/2020,220.509995,232.899994,220,226.029999,226.029999,1843500
9/30/2020,223.75,226.679993,218.589996,223.059998,223.059998,1149000
10/1/2020,227.300003,242.149994,223,238.100006,238.100006,2313600
10/2/2020,235.889999,239.979996,212.660004,222.699997,222.699997,2836100
10/5/2020,226,229.774002,220.899994,225.009995,225.009995,1303600
10/6/2020,229,232.429993,210.720001,214.649994,214.649994,1761900
10/7/2020,221.860001,223.839996,214.660004,216.960007,216.960007,1168900
10/8/2020,217.860001,219.557007,211.25,214,214,998100
10/9/2020,214.869995,215.509995,211.690002,213.449997,213.449997,930300
10/12/2020,216,217,208.485992,209.5,209.5,829400
10/13/2020,210.520004,225.25,210.520004,216.850006,216.850006,1918200
10/14/2020,219.134995,220.529999,207,213.220001,213.220001,1157800
10/15/2020,210,224.830002,209.710007,224.389999,224.389999,2165300
10/16/2020,223.990005,227.100006,215.100006,221.339996,221.339996,1735000
10/19/2020,222.960007,229,212.589996,213.679993,213.679993,1315800
10/20/2020,209.910004,212.479996,199.080002,199.979996,199.979996,2540100
10/21/2020,202.380005,204.5,191.020004,192.229996,192.229996,1305100
10/22/2020,193.369995,203.070007,190.419998,202.199997,202.199997,1379400
10/23/2020,201.509995,204.5,197.050003,202.639999,202.639999,805800
10/26/2020,199.110001,202.914993,196.119995,201.380005,201.380005,1453600
10/27/2020,202.389999,209.949997,201,208.320007,208.320007,1413300
10/28/2020,203.289993,205.5,197.748993,203,203,1506900
10/29/2020,205,205.699997,190.210007,191.190002,191.190002,2072800
10/30/2020,199.320007,213.990005,179.240005,185.350006,185.350006,4703100
11/2/2020,187.199997,189.899994,180.130005,185.009995,185.009995,1962400
11/3/2020,186.970001,194.789993,185.639999,191,191,1183200
11/4/2020,196.009995,201.699997,193.460007,201.199997,201.199997,1817800
11/5/2020,205.820007,210,202.440002,204.509995,204.509995,1110900
11/6/2020,205.139999,211.690002,196.264999,210,210,1427700
11/9/2020,201.25,207.470001,194.009995,194.149994,194.149994,2005600
11/10/2020,191.380005,194.929993,182.059998,192.490005,192.490005,1945200
11/11/2020,194.25,207.449997,193.369995,207.25,207.25,1643700
11/12/2020,205.300003,217.149994,204.292007,214.740005,214.740005,2101500
11/13/2020,216.539993,220.425003,207.960007,211.080002,211.080002,1234200
11/16/2020,206,214.490005,205.649994,210.009995,210.009995,987000
11/17/2020,210.160004,223.710007,208.509995,221.589996,221.589996,1516600
11/18/2020,221,231.190002,220.270004,224.179993,224.179993,1614500
11/19/2020,225.070007,230.639999,222,227,227,1598100
11/20/2020,228,236.432007,226.889999,234.300003,234.300003,1412200
11/23/2020,237.669998,244.529999,236.095001,240.080002,240.080002,2707500
11/24/2020,239.899994,246.095001,231.75,236.720001,236.720001,1802200
11/25/2020,235.809998,243.264008,232.539993,238.160004,238.160004,1055900
11/27/2020,242.410004,250.660004,240.600006,249.139999,249.139999,1213000
11/30/2020,251.080002,251.675003,235.820007,250.210007,250.210007,3863800
12/1/2020,251.5,252.360001,242.255005,251.130005,251.130005,1332000
12/2/2020,229.229996,238.779999,223.479996,225.449997,225.449997,3184700
12/3/2020,227.509995,232.5,224.020004,227.919998,227.919998,1261000
12/4/2020,232.059998,243.169998,228.940002,243.089996,243.089996,2200200
